text,condition,record_type,Care_Profile
Foreign body identified on radiograph; proceed to surgery.,Digestive Issues,Clinical Notes,foreign body identified on radiograph proceed to surgery digestive issues clinical notes
"Pattern baldness (e.g., pinnal, ventral) noted; likely cosmetic.",Skin Irritations,Clinical Notes,pattern baldness eg pinnal ventral noted likely cosmetic skin irritations clinical notes
"My dog's hind legs seem uncoordinated, crossing over each other.",Mobility Problems,Owner Observation,my dogs hind legs seem uncoordinated crossing over each other mobility problems owner observation
Dog has yellowish diarrhea.,Digestive Issues,Owner Observation,dog has yellowish diarrhea digestive issues owner observation
"Assess hydration: CRT <2s, moist MM, good skin turgor. Patient appears euhydrated.",Digestive Issues,Clinical Notes,assess hydration crt s moist mm good skin turgor patient appears euhydrated digestive issues clinical notes
"Use moxidectin (Advantage Multi, ProHeart) for heartworm, fleas, roundworms, hookworms, whipworms, sarcoptic mange, ear mites (depending on formulation/species).",Parasites,Clinical Notes,use moxidectin advantage multi proheart for heartworm fleas roundworms hookworms whipworms sarcoptic mange ear mites depending on formulationspecies parasites clinical notes
Guinea pig is not moving around its cage much.,Mobility Problems,Owner Observation,guinea pig is not moving around its cage much mobility problems owner observation
Gastric motility issue; prescribe prokinetics.,Digestive Issues,Clinical Notes,gastric motility issue prescribe prokinetics digestive issues clinical notes
"Dog has adult-onset generalized demodicosis, need to check for underlying issues.",Parasites,Owner Observation,dog has adultonset generalized demodicosis need to check for underlying issues parasites owner observation
"My kitten has fleas, I saw them jumping.",Parasites,Owner Observation,my kitten has fleas i saw them jumping parasites owner observation
Dog has developed bald spots on his muzzle and around his eyes.,Parasites,Owner Observation,dog has developed bald spots on his muzzle and around his eyes parasites owner observation
Alopecia and crusting on belly; test for yeast infection.,Skin Irritations,Clinical Notes,alopecia and crusting on belly test for yeast infection skin irritations clinical notes
Fecal direct smear shows motile Giardia trophozoites. Zinc sulfate flotation confirms cysts.,Parasites,Clinical Notes,fecal direct smear shows motile giardia trophozoites zinc sulfate flotation confirms cysts parasites clinical notes
"Skin fragility syndrome in older cat; handle gently, check for underlying conditions (hyperadrenocorticism, diabetes).",Skin Irritations,Clinical Notes,skin fragility syndrome in older cat handle gently check for underlying conditions hyperadrenocorticism diabetes skin irritations clinical notes
"Educate owner on parasite transmission routes (fecal-oral, vectors, transplacental, transmammary).",Parasites,Clinical Notes,educate owner on parasite transmission routes fecaloral vectors transplacental transmammary parasites clinical notes
"Ferret has tiny black specks in its fur, might be dirt or bugs.",Skin Irritations,Owner Observation,ferret has tiny black specks in its fur might be dirt or bugs skin irritations owner observation
My cat doesn't seem to hear me approaching from one side.,Ear Infections,Owner Observation,my cat doesnt seem to hear me approaching from one side ear infections owner observation
Dog has itchy bumps primarily on his back near the tail.,Skin Irritations,Owner Observation,dog has itchy bumps primarily on his back near the tail skin irritations owner observation
"Consider fecal PCR testing for diagnosing difficult parasites (e.g., Tritrichomonas).",Parasites,Clinical Notes,consider fecal pcr testing for diagnosing difficult parasites eg tritrichomonas parasites clinical notes
My dog has lost muscle mass in his hind legs.,Mobility Problems,Owner Observation,my dog has lost muscle mass in his hind legs mobility problems owner observation
"Cat vomited something that looked dark brown, like old blood.",Digestive Issues,Owner Observation,cat vomited something that looked dark brown like old blood digestive issues owner observation
Provide written discharge instructions.,Ear Infections,Clinical Notes,provide written discharge instructions ear infections clinical notes
Acute vomiting and diarrhea; suspect gastroenteritis.,Digestive Issues,Clinical Notes,acute vomiting and diarrhea suspect gastroenteritis digestive issues clinical notes
Urticaria/angioedema likely due to insect sting/bite; administer diphenhydramine and dexamethasone.,Skin Irritations,Clinical Notes,urticariaangioedema likely due to insect stingbite administer diphenhydramine and dexamethasone skin irritations clinical notes
"Dog has black, tar-like stool.",Digestive Issues,Owner Observation,dog has black tarlike stool digestive issues owner observation
"Cat has itchy, crusty lesions on the bridge of her nose.",Skin Irritations,Owner Observation,cat has itchy crusty lesions on the bridge of her nose skin irritations owner observation
Pain elicited on opening mouth fully; may indicate TMJ involvement or referred pain from otitis media.,Ear Infections,Clinical Notes,pain elicited on opening mouth fully may indicate tmj involvement or referred pain from otitis media ear infections clinical notes
Juvenile cellulitis ('puppy strangles') diagnosed; initiate immunosuppressive steroid therapy.,Skin Irritations,Clinical Notes,juvenile cellulitis puppy strangles diagnosed initiate immunosuppressive steroid therapy skin irritations clinical notes
Dog’s ears have a greasy discharge and bad smell.,Ear Infections,Owner Observation,dog’s ears have a greasy discharge and bad smell ear infections owner observation
Arthrocentesis performed; joint fluid analysis pending.,Mobility Problems,Clinical Notes,arthrocentesis performed joint fluid analysis pending mobility problems clinical notes
Cat’s ears are hot and have a yeasty smell.,Ear Infections,Owner Observation,cat’s ears are hot and have a yeasty smell ear infections owner observation
Suspect otitis media secondary to chronic otitis externa based on head tilt and pain.,Ear Infections,Clinical Notes,suspect otitis media secondary to chronic otitis externa based on head tilt and pain ear infections clinical notes
"Recommend environmental modifications (ramps, non-slip flooring, raised feeders, orthopedic bed).",Mobility Problems,Clinical Notes,recommend environmental modifications ramps nonslip flooring raised feeders orthopedic bed mobility problems clinical notes
My cat has developed swelling on her lip.,Skin Irritations,Owner Observation,my cat has developed swelling on her lip skin irritations owner observation
Advise strict confinement to prevent falls/injury in ataxic patients.,Ear Infections,Clinical Notes,advise strict confinement to prevent fallsinjury in ataxic patients ear infections clinical notes
Emphasize that many ear conditions require lifelong management rather than a cure.,Ear Infections,Clinical Notes,emphasize that many ear conditions require lifelong management rather than a cure ear infections clinical notes
Fecal PCR for Tritrichomonas foetus recommended for refractory feline diarrhea.,Digestive Issues,Clinical Notes,fecal pcr for tritrichomonas foetus recommended for refractory feline diarrhea digestive issues clinical notes
My dog likely got tapeworms from ingesting fleas.,Parasites,Owner Observation,my dog likely got tapeworms from ingesting fleas parasites owner observation
My dog has had surgery (TECA) for end-stage ear condition.,Ear Infections,Owner Observation,my dog has had surgery teca for endstage ear condition ear infections owner observation
Unilateral otitis externa in older dog with mass obstructing canal. Biopsy confirms ceruminous gland adenocarcinoma.,Ear Infections,Clinical Notes,unilateral otitis externa in older dog with mass obstructing canal biopsy confirms ceruminous gland adenocarcinoma ear infections clinical notes
My dog is reluctant to go up or down stairs.,Mobility Problems,Owner Observation,my dog is reluctant to go up or down stairs mobility problems owner observation
"Ferret has dark, crusty debris in his ears, likely mites.",Parasites,Owner Observation,ferret has dark crusty debris in his ears likely mites parasites owner observation
Dog tires easily on walks and wants to turn back early.,Mobility Problems,Owner Observation,dog tires easily on walks and wants to turn back early mobility problems owner observation
Pain medication trial initiated to assess response.,Mobility Problems,Clinical Notes,pain medication trial initiated to assess response mobility problems clinical notes
My dog's kneecap pops in and out of place (luxating patella).,Mobility Problems,Owner Observation,my dogs kneecap pops in and out of place luxating patella mobility problems owner observation
My rabbit has sores on its feet and is losing fur there.,Parasites,Owner Observation,my rabbit has sores on its feet and is losing fur there parasites owner observation
"Video otoscopy performed for thorough cleaning, myringotomy, and middle ear flush/culture.",Ear Infections,Clinical Notes,video otoscopy performed for thorough cleaning myringotomy and middle ear flushculture ear infections clinical notes
My cat vomited something that looked like a small worm.,Parasites,Owner Observation,my cat vomited something that looked like a small worm parasites owner observation
Ferret has hind limb paralysis.,Mobility Problems,Owner Observation,ferret has hind limb paralysis mobility problems owner observation
Lymphangiectasia suspected based on ultrasound and hypoalbuminemia.,Digestive Issues,Clinical Notes,lymphangiectasia suspected based on ultrasound and hypoalbuminemia digestive issues clinical notes
"Dog has red, irritated skin and black specks (like dirt) that turn red when wet.",Parasites,Owner Observation,dog has red irritated skin and black specks like dirt that turn red when wet parasites owner observation
"Ferret is anemic, possibly due to fleas.",Parasites,Owner Observation,ferret is anemic possibly due to fleas parasites owner observation
"Cat moves very deliberately, almost like she's walking on eggshells.",Mobility Problems,Owner Observation,cat moves very deliberately almost like shes walking on eggshells mobility problems owner observation
Skin biopsy submitted for histopathology to rule out neoplasia/immune-mediated condition.,Skin Irritations,Clinical Notes,skin biopsy submitted for histopathology to rule out neoplasiaimmunemediated condition skin irritations clinical notes
Bacterial ear infection; start oral antibiotics.,Ear Infections,Clinical Notes,bacterial ear infection start oral antibiotics ear infections clinical notes
"Noticed a thick, dark brown discharge inside my dog's ear flap.",Ear Infections,Owner Observation,noticed a thick dark brown discharge inside my dogs ear flap ear infections owner observation
Positive response to Tensilon (edrophonium chloride) injection supports diagnosis of myasthenia gravis.,Mobility Problems,Clinical Notes,positive response to tensilon edrophonium chloride injection supports diagnosis of myasthenia gravis mobility problems clinical notes
Puppy cries and tries to bite when I touch near his left ear.,Ear Infections,Owner Observation,puppy cries and tries to bite when i touch near his left ear ear infections owner observation
My cat's fur along her spine looks greasy and matted.,Skin Irritations,Owner Observation,my cats fur along her spine looks greasy and matted skin irritations owner observation
Schedule follow-up appointment to monitor progress.,Mobility Problems,Clinical Notes,schedule followup appointment to monitor progress mobility problems clinical notes
The opening to my dog's ear canal looks swollen almost closed.,Ear Infections,Owner Observation,the opening to my dogs ear canal looks swollen almost closed ear infections owner observation
"Stress importance of completing entire course of antibiotics/antifungals, even if ears look better.",Ear Infections,Clinical Notes,stress importance of completing entire course of antibioticsantifungals even if ears look better ear infections clinical notes
Fecal Giardia antigen test performed using SNAP or ELISA method.,Parasites,Clinical Notes,fecal giardia antigen test performed using snap or elisa method parasites clinical notes
"Recommend highly digestible therapeutic diet (e.g., Hill's i/d, Royal Canin GI).",Digestive Issues,Clinical Notes,recommend highly digestible therapeutic diet eg hills id royal canin gi digestive issues clinical notes
Cat is rubbing the side of her head on the floor and furniture.,Ear Infections,Owner Observation,cat is rubbing the side of her head on the floor and furniture ear infections owner observation
Dog has a hematoma that keeps refilling after being drained.,Ear Infections,Owner Observation,dog has a hematoma that keeps refilling after being drained ear infections owner observation
"Provide detailed estimate covering costs of diagnostics (radiographs, bloodwork, MRI) and potential treatments (medications, surgery, rehab).",Mobility Problems,Clinical Notes,provide detailed estimate covering costs of diagnostics radiographs bloodwork mri and potential treatments medications surgery rehab mobility problems clinical notes
Cat is grooming her belly so much it's almost bald.,Parasites,Owner Observation,cat is grooming her belly so much its almost bald parasites owner observation
Teach owner passive range of motion (PROM) exercises and massage techniques.,Mobility Problems,Clinical Notes,teach owner passive range of motion prom exercises and massage techniques mobility problems clinical notes
Dog has small blood spots on the skin where he's been scratching.,Skin Irritations,Owner Observation,dog has small blood spots on the skin where hes been scratching skin irritations owner observation
"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",Skin Irritations,Clinical Notes,skin fragility syndrome noted in older cat handle with care check for hyperadrenocorticism skin irritations clinical notes
No evidence of ectoparasites on thorough examination.,Skin Irritations,Clinical Notes,no evidence of ectoparasites on thorough examination skin irritations clinical notes
Cutaneous trunci reflex absent caudal to L1 dermatome.,Mobility Problems,Clinical Notes,cutaneous trunci reflex absent caudal to l dermatome mobility problems clinical notes
Palpable 'sausage-like' mass in mid-abdomen; ultrasound confirms intussusception. Surgical correction required.,Digestive Issues,Clinical Notes,palpable sausagelike mass in midabdomen ultrasound confirms intussusception surgical correction required digestive issues clinical notes
Recommend advanced imaging (CT scan) to evaluate extent of middle/inner ear involvement and rule out neoplasia.,Ear Infections,Clinical Notes,recommend advanced imaging ct scan to evaluate extent of middleinner ear involvement and rule out neoplasia ear infections clinical notes
Rabbit is shaking its head and scratching behind the ears.,Parasites,Owner Observation,rabbit is shaking its head and scratching behind the ears parasites owner observation
The discharge from the ear is bloody.,Ear Infections,Owner Observation,the discharge from the ear is bloody ear infections owner observation
Giardia antigen test positive; prescribe fenbendazole.,Digestive Issues,Clinical Notes,giardia antigen test positive prescribe fenbendazole digestive issues clinical notes
Direct fecal smear performed to look for motile trophozoites (Giardia).,Parasites,Clinical Notes,direct fecal smear performed to look for motile trophozoites giardia parasites clinical notes
"Dog has very dark, almost black stool.",Digestive Issues,Owner Observation,dog has very dark almost black stool digestive issues owner observation
"Horner's syndrome (miosis, ptosis, enophthalmos) noted; likely due to middle ear pathology.",Ear Infections,Clinical Notes,horners syndrome miosis ptosis enophthalmos noted likely due to middle ear pathology ear infections clinical notes
"My dog's joints seem swollen, especially his knees.",Mobility Problems,Owner Observation,my dogs joints seem swollen especially his knees mobility problems owner observation
My dog sometimes walks on the top of his paw instead of the pad.,Mobility Problems,Owner Observation,my dog sometimes walks on the top of his paw instead of the pad mobility problems owner observation
"Guinea pig has Trixacarus mange, causing intense itching and seizures.",Parasites,Owner Observation,guinea pig has trixacarus mange causing intense itching and seizures parasites owner observation
My hamster is scratching behind its ears constantly.,Skin Irritations,Owner Observation,my hamster is scratching behind its ears constantly skin irritations owner observation
"Hepatic encephalopathy suspected due to neurological signs (head pressing, disorientation) and liver dysfunction (elevated bile acids).",Digestive Issues,Clinical Notes,hepatic encephalopathy suspected due to neurological signs head pressing disorientation and liver dysfunction elevated bile acids digestive issues clinical notes
"Ferret seems weak in his back legs, dragging them slightly.",Mobility Problems,Owner Observation,ferret seems weak in his back legs dragging them slightly mobility problems owner observation
Plasma cell pododermatitis ('pillow foot') diagnosed in cat.,Skin Irritations,Clinical Notes,plasma cell pododermatitis pillow foot diagnosed in cat skin irritations clinical notes
"My dog gets ear infections constantly, vet thinks mites might be involved.",Parasites,Owner Observation,my dog gets ear infections constantly vet thinks mites might be involved parasites owner observation
Cat has difficulty grooming her back.,Mobility Problems,Owner Observation,cat has difficulty grooming her back mobility problems owner observation
Puppy vomited undigested food several hours after eating.,Digestive Issues,Owner Observation,puppy vomited undigested food several hours after eating digestive issues owner observation
"Melena reported by owner; confirmed on rectal thermometer. Indicates upper GI bleeding. Start gastroprotectants (famotidine/omeprazole, sucralfate).",Digestive Issues,Clinical Notes,melena reported by owner confirmed on rectal thermometer indicates upper gi bleeding start gastroprotectants famotidineomeprazole sucralfate digestive issues clinical notes
My cat has a drooping eyelid and smaller pupil on the same side as the head tilt.,Ear Infections,Owner Observation,my cat has a drooping eyelid and smaller pupil on the same side as the head tilt ear infections owner observation
My senior dog is having trouble getting up from his bed.,Mobility Problems,Owner Observation,my senior dog is having trouble getting up from his bed mobility problems owner observation
"Dog strains to defecate, only producing small amounts of liquid.",Digestive Issues,Owner Observation,dog strains to defecate only producing small amounts of liquid digestive issues owner observation
Ferret has orange-ish discoloration of the skin.,Skin Irritations,Owner Observation,ferret has orangeish discoloration of the skin skin irritations owner observation
Seborrhea oleosa diagnosed; recommend medicated shampoo with benzoyl peroxide.,Skin Irritations,Clinical Notes,seborrhea oleosa diagnosed recommend medicated shampoo with benzoyl peroxide skin irritations clinical notes
Prescribe metronidazole for Giardia infection (off-label use).,Parasites,Clinical Notes,prescribe metronidazole for giardia infection offlabel use parasites clinical notes
My cat has a history of ear polyps.,Ear Infections,Owner Observation,my cat has a history of ear polyps ear infections owner observation
"Discuss potential side effects of medications (e.g., steroids, Apoquel).",Skin Irritations,Clinical Notes,discuss potential side effects of medications eg steroids apoquel skin irritations clinical notes
"Discuss surgical options for CCL rupture (TPLO, TTA, lateral suture) vs. medical management.",Mobility Problems,Clinical Notes,discuss surgical options for ccl rupture tplo tta lateral suture vs medical management mobility problems clinical notes
"My puppy seems unsteady on his feet, like the room is spinning.",Ear Infections,Owner Observation,my puppy seems unsteady on his feet like the room is spinning ear infections owner observation
"Radiographs show shallow acetabula, femoral head subluxation, and severe DJD consistent with chronic hip dysplasia.",Mobility Problems,Clinical Notes,radiographs show shallow acetabula femoral head subluxation and severe djd consistent with chronic hip dysplasia mobility problems clinical notes
"Dog trembles sometimes, especially his back legs, when standing.",Mobility Problems,Owner Observation,dog trembles sometimes especially his back legs when standing mobility problems owner observation
"Dog is intensely itchy, especially on his elbows and ear margins.",Parasites,Owner Observation,dog is intensely itchy especially on his elbows and ear margins parasites owner observation
"My dog drags his back toenails sometimes, making a scraping sound.",Mobility Problems,Owner Observation,my dog drags his back toenails sometimes making a scraping sound mobility problems owner observation
Otitis externa frequently secondary to underlying primary cause.,Ear Infections,Clinical Notes,otitis externa frequently secondary to underlying primary cause ear infections clinical notes
Recommend testing for tick-borne conditions 4-6 weeks after tick exposure.,Parasites,Clinical Notes,recommend testing for tickborne conditions weeks after tick exposure parasites clinical notes
Rule out trauma as cause of aural hematoma.,Ear Infections,Clinical Notes,rule out trauma as cause of aural hematoma ear infections clinical notes
"Dog has thickened, elephant-like skin in chronically itchy areas.",Skin Irritations,Owner Observation,dog has thickened elephantlike skin in chronically itchy areas skin irritations owner observation
Excoriated sores on back; rule out bacterial infection.,Skin Irritations,Clinical Notes,excoriated sores on back rule out bacterial infection skin irritations clinical notes
"Moderate regenerative anemia (PCV 25%, reticulocytes elevated) likely due to chronic hookworm infestation.",Parasites,Clinical Notes,moderate regenerative anemia pcv reticulocytes elevated likely due to chronic hookworm infestation parasites clinical notes
Feline panleukopenia suspected in unvaccinated kitten with severe V/D.,Digestive Issues,Clinical Notes,feline panleukopenia suspected in unvaccinated kitten with severe vd digestive issues clinical notes
Pet struggles to get up from lying down.,Mobility Problems,Owner Observation,pet struggles to get up from lying down mobility problems owner observation
Severe otitis externa in rabbit due to Psoroptes cuniculi. Treat with ivermectin or selamectin. Do not manually remove crusts initially.,Parasites,Clinical Notes,severe otitis externa in rabbit due to psoroptes cuniculi treat with ivermectin or selamectin do not manually remove crusts initially parasites clinical notes
My rabbit has redness and swelling around its genitals.,Skin Irritations,Owner Observation,my rabbit has redness and swelling around its genitals skin irritations owner observation
"Cat’s back has pink, weepy sores from scratching.",Skin Irritations,Owner Observation,cat’s back has pink weepy sores from scratching skin irritations owner observation
Gastritis with bile reflux; prescribe sucralfate.,Digestive Issues,Clinical Notes,gastritis with bile reflux prescribe sucralfate digestive issues clinical notes
Wood's lamp examination negative for Microsporum canis fluorescence.,Skin Irritations,Clinical Notes,woods lamp examination negative for microsporum canis fluorescence skin irritations clinical notes
"Discuss potential risks of TECA surgery including facial nerve damage, Horner's syndrome, abscess formation.",Ear Infections,Clinical Notes,discuss potential risks of teca surgery including facial nerve damage horners syndrome abscess formation ear infections clinical notes
Otodectes cynotis infestation causing secondary bacterial otitis.,Skin Irritations,Clinical Notes,otodectes cynotis infestation causing secondary bacterial otitis skin irritations clinical notes
My ferret seems itchy all over.,Parasites,Owner Observation,my ferret seems itchy all over parasites owner observation
"Cat keeps retching like she needs to cough up a hairball, but doesn't.",Digestive Issues,Owner Observation,cat keeps retching like she needs to cough up a hairball but doesnt digestive issues owner observation
My dog ate chicken bones and is now lethargic and straining.,Digestive Issues,Owner Observation,my dog ate chicken bones and is now lethargic and straining digestive issues owner observation
My puppy has debris in his ears that looks like coffee grounds.,Ear Infections,Owner Observation,my puppy has debris in his ears that looks like coffee grounds ear infections owner observation
"My cat seems dizzy, stumbling and walking in circles.",Ear Infections,Owner Observation,my cat seems dizzy stumbling and walking in circles ear infections owner observation
Sarcoptic mange; prescribe oral ivermectin.,Parasites,Clinical Notes,sarcoptic mange prescribe oral ivermectin parasites clinical notes
"Myiasis present in neglected wound; clean, debride, remove larvae.",Skin Irritations,Clinical Notes,myiasis present in neglected wound clean debride remove larvae skin irritations clinical notes
Cat seems painful when the vet manipulates her legs.,Mobility Problems,Owner Observation,cat seems painful when the vet manipulates her legs mobility problems owner observation
My rabbit’s ears are red and smell unpleasant.,Ear Infections,Owner Observation,my rabbit’s ears are red and smell unpleasant ear infections owner observation
Referral for neurological consultation/advanced imaging (MRI/CT) recommended for suspected IVDD/spinal cord condition.,Mobility Problems,Clinical Notes,referral for neurological consultationadvanced imaging mrict recommended for suspected ivddspinal cord condition mobility problems clinical notes
"Ferret has green, slimy diarrhea.",Digestive Issues,Owner Observation,ferret has green slimy diarrhea digestive issues owner observation
My cat misses jumps sometimes.,Mobility Problems,Owner Observation,my cat misses jumps sometimes mobility problems owner observation
Dog has inflammation extending to the outside of the ear flap.,Ear Infections,Owner Observation,dog has inflammation extending to the outside of the ear flap ear infections owner observation
My dog seems to lose his balance easily.,Mobility Problems,Owner Observation,my dog seems to lose his balance easily mobility problems owner observation
Crusting lesions on pinnal margins; suspect sarcoptic mange or vasculitis.,Skin Irritations,Clinical Notes,crusting lesions on pinnal margins suspect sarcoptic mange or vasculitis skin irritations clinical notes
Discontinue any NSAIDs that could be causing GI upset.,Digestive Issues,Clinical Notes,discontinue any nsaids that could be causing gi upset digestive issues clinical notes
"Cat vomits undigested food about once a week, seems fine otherwise.",Digestive Issues,Owner Observation,cat vomits undigested food about once a week seems fine otherwise digestive issues owner observation
Puppy has mild redness in both ears.,Ear Infections,Owner Observation,puppy has mild redness in both ears ear infections owner observation
Coccidia confirmed; prescribe sulfa drugs.,Parasites,Clinical Notes,coccidia confirmed prescribe sulfa drugs parasites clinical notes
Post-operative monitoring for ileus.,Digestive Issues,Clinical Notes,postoperative monitoring for ileus digestive issues clinical notes
My cat vomited a worm.,Digestive Issues,Owner Observation,my cat vomited a worm digestive issues owner observation
Cruciate tear suspected; stabilize and refer.,Mobility Problems,Clinical Notes,cruciate tear suspected stabilize and refer mobility problems clinical notes
My hamster is losing patches of fur and scratching.,Parasites,Owner Observation,my hamster is losing patches of fur and scratching parasites owner observation
My cat has ear mites again.,Parasites,Owner Observation,my cat has ear mites again parasites owner observation
"Differentials for vestibular signs: Peripheral (otitis interna, idiopathic vestibular condition) vs. Central (brainstem lesion).",Ear Infections,Clinical Notes,differentials for vestibular signs peripheral otitis interna idiopathic vestibular condition vs central brainstem lesion ear infections clinical notes
Discuss humane euthanasia if quality of life is poor and pain is refractory.,Mobility Problems,Clinical Notes,discuss humane euthanasia if quality of life is poor and pain is refractory mobility problems clinical notes
Cat is constantly licking at her knee joint.,Mobility Problems,Owner Observation,cat is constantly licking at her knee joint mobility problems owner observation
Dog started holding up his back right leg after chasing a squirrel.,Mobility Problems,Owner Observation,dog started holding up his back right leg after chasing a squirrel mobility problems owner observation
"My puppy is a breed with heavy, floppy ears that don't get good airflow.",Ear Infections,Owner Observation,my puppy is a breed with heavy floppy ears that dont get good airflow ear infections owner observation
My dog has arthritis diagnosed by the vet.,Mobility Problems,Owner Observation,my dog has arthritis diagnosed by the vet mobility problems owner observation
Gastric irritation; start famotidine therapy.,Digestive Issues,Clinical Notes,gastric irritation start famotidine therapy digestive issues clinical notes
Cranial drawer test equivocal; tibial compression test positive LH stifle. Probable CCL tear.,Mobility Problems,Clinical Notes,cranial drawer test equivocal tibial compression test positive lh stifle probable ccl tear mobility problems clinical notes
Cuterebra larva removed from subcutaneous swelling.,Parasites,Clinical Notes,cuterebra larva removed from subcutaneous swelling parasites clinical notes
Pythiosis suspected based on GI thickening and regional lymphadenopathy.,Digestive Issues,Clinical Notes,pythiosis suspected based on gi thickening and regional lymphadenopathy digestive issues clinical notes
Hamster has hair loss around its scent glands.,Skin Irritations,Owner Observation,hamster has hair loss around its scent glands skin irritations owner observation
Diarrhea with mucus; test for giardia.,Digestive Issues,Clinical Notes,diarrhea with mucus test for giardia digestive issues clinical notes
Cat likely has a muscle sprain or strain causing limping.,Mobility Problems,Owner Observation,cat likely has a muscle sprain or strain causing limping mobility problems owner observation
My bird is lethargic and its droppings look abnormal.,Parasites,Owner Observation,my bird is lethargic and its droppings look abnormal parasites owner observation
My rabbit has developed a swelling near the base of its ear.,Ear Infections,Owner Observation,my rabbit has developed a swelling near the base of its ear ear infections owner observation
My rabbit has fly eggs visible on its soiled rear end.,Skin Irritations,Owner Observation,my rabbit has fly eggs visible on its soiled rear end skin irritations owner observation
"My puppy has persistent diarrhea, vet found coccidia.",Parasites,Owner Observation,my puppy has persistent diarrhea vet found coccidia parasites owner observation
Prescribe ponazuril for Coccidia treatment.,Parasites,Clinical Notes,prescribe ponazuril for coccidia treatment parasites clinical notes
"Cat is scratching near, but not directly in, the ear.",Ear Infections,Owner Observation,cat is scratching near but not directly in the ear ear infections owner observation
Cat has a middle ear infection causing neurological signs.,Ear Infections,Owner Observation,cat has a middle ear infection causing neurological signs ear infections owner observation
Cat has developed a head tilt suddenly.,Ear Infections,Owner Observation,cat has developed a head tilt suddenly ear infections owner observation
"Prescribe systemic antibiotics (e.g., cephalexin, clindamycin) for deep pyoderma.",Skin Irritations,Clinical Notes,prescribe systemic antibiotics eg cephalexin clindamycin for deep pyoderma skin irritations clinical notes
"Ferret has dark, coffee ground-like debris in his ears.",Ear Infections,Owner Observation,ferret has dark coffee groundlike debris in his ears ear infections owner observation
My cat has difficulty swallowing.,Digestive Issues,Owner Observation,my cat has difficulty swallowing digestive issues owner observation
Educate owner on recognizing early signs of skin infection.,Skin Irritations,Clinical Notes,educate owner on recognizing early signs of skin infection skin irritations clinical notes
"Dog raided the kitchen bin last night, now has terrible diarrhea.",Digestive Issues,Owner Observation,dog raided the kitchen bin last night now has terrible diarrhea digestive issues owner observation
"Ferret has waxy debris, possibly ear mites.",Ear Infections,Owner Observation,ferret has waxy debris possibly ear mites ear infections owner observation
"Ferret has very thick, dark, waxy buildup in both ears.",Ear Infections,Owner Observation,ferret has very thick dark waxy buildup in both ears ear infections owner observation
Rabbit has ear mites causing head tilt.,Parasites,Owner Observation,rabbit has ear mites causing head tilt parasites owner observation
"Prescribe systemic antibiotics (e.g., clindamycin, enrofloxacin) for suspected otitis media.",Ear Infections,Clinical Notes,prescribe systemic antibiotics eg clindamycin enrofloxacin for suspected otitis media ear infections clinical notes
Puppy got water in his ears playing with the hose.,Ear Infections,Owner Observation,puppy got water in his ears playing with the hose ear infections owner observation
Calculate RER and adjust caloric intake to achieve/maintain ideal body weight.,Mobility Problems,Clinical Notes,calculate rer and adjust caloric intake to achievemaintain ideal body weight mobility problems clinical notes
Generalized erythema and pruritus noted; suspect atopic dermatitis.,Skin Irritations,Clinical Notes,generalized erythema and pruritus noted suspect atopic dermatitis skin irritations clinical notes
My dog has Legg-Calve-Perthes condition.,Mobility Problems,Owner Observation,my dog has leggcalveperthes condition mobility problems owner observation
"My finch is wheezing and clicking, suspect air sac mites.",Parasites,Owner Observation,my finch is wheezing and clicking suspect air sac mites parasites owner observation
Cat vomited what looks like coffee grounds.,Digestive Issues,Owner Observation,cat vomited what looks like coffee grounds digestive issues owner observation
Administer tramadol for breakthrough pain.,Mobility Problems,Clinical Notes,administer tramadol for breakthrough pain mobility problems clinical notes
Rhipicephalus sanguineus tick removed. Discuss Ehrlichia/Babesia prevention.,Parasites,Clinical Notes,rhipicephalus sanguineus tick removed discuss ehrlichiababesia prevention parasites clinical notes
Recommend Cytopoint injection for canine atopic dermatitis.,Skin Irritations,Clinical Notes,recommend cytopoint injection for canine atopic dermatitis skin irritations clinical notes
"My bird has air sac mites, causing breathing difficulty.",Parasites,Owner Observation,my bird has air sac mites causing breathing difficulty parasites owner observation
Provide handout on heartworm condition.,Parasites,Clinical Notes,provide handout on heartworm condition parasites clinical notes
Cat's paws are swollen and red.,Skin Irritations,Owner Observation,cats paws are swollen and red skin irritations owner observation
"Medical management of CCL tear includes weight loss, activity modification, NSAIDs, and physical therapy.",Mobility Problems,Clinical Notes,medical management of ccl tear includes weight loss activity modification nsaids and physical therapy mobility problems clinical notes
Otodectes cynotis (ear mites) identified on microscopic examination of debris.,Ear Infections,Clinical Notes,otodectes cynotis ear mites identified on microscopic examination of debris ear infections clinical notes
Pain management crucial; prescribe NSAIDs or other analgesics.,Ear Infections,Clinical Notes,pain management crucial prescribe nsaids or other analgesics ear infections clinical notes
Monitor for systemic signs of illness with severe infections.,Ear Infections,Clinical Notes,monitor for systemic signs of illness with severe infections ear infections clinical notes
Dog has yeast overgrowth in his ears.,Ear Infections,Owner Observation,dog has yeast overgrowth in his ears ear infections owner observation
Kitten has persistent diarrhea despite deworming.,Parasites,Owner Observation,kitten has persistent diarrhea despite deworming parasites owner observation
